model;price;transmission;mileage;fuelType;tax;mpg;engineSize;Make
 5 Series;42995;Automatic;7500;Hybrid;135;156,9;2;BMW
 Q5;48990;Semi-Auto;5000;Hybrid;135;117,7;2;audi
 2 Series;34975;Semi-Auto;5;Diesel;145;48,7;2;BMW
 Q5;35500;Semi-Auto;3500;Diesel;145;38,2;2;audi
 TT;28800;Semi-Auto;241;Petrol;145;40,9;2;audi
 Golf;22290;Semi-Auto;3521;Petrol;145;43,5;1,5;vw
 Fiesta;18499;Manual;800;Petrol;145;60,1;1;Ford
 Golf;20500;Manual;2500;Petrol;145;47,1;1,5;vw
 Polo;15500;Manual;1500;Petrol;145;52,3;1;vw
 Q3;39888;Automatic;1500;Petrol;145;30,7;2;audi
 3 Series;43880;Automatic;5980;Hybrid;135;8,8;2;BMW
 2 Series;20980;Semi-Auto;12;Petrol;145;50,4;1,5;BMW
 X3;39990;Semi-Auto;4773;Diesel;150;48,7;3;BMW
 Passat;34000;Automatic;10;Hybrid;135;42,8;1,4;vw
 A5;33990;Semi-Auto;6000;Petrol;145;39,2;2;audi
 Golf;25500;Semi-Auto;430;Hybrid;150;44,8;1,5;vw
 Superb;23290;Semi-Auto;495;Diesel;145;47,9;1,6;skoda
 A6;47995;Semi-Auto;3000;Petrol;150;34;2;audi
 I30;26999;Manual;1472;Petrol;145;34;2;Hyundai
 Mondeo;21000;Manual;52;Diesel;145;62,8;2;Ford
 M4;59995;Semi-Auto;5;Petrol;145;34;3;BMW
 Tiguan;34990;Manual;4987;Diesel;145;42,8;2;vw
 Yaris;18908;Automatic;1133;Petrol;150;47,9;1,5;toyota
 A3;26990;Semi-Auto;3000;Petrol;145;44,1;1,5;audi
 I10;12995;Manual;4550;Petrol;145;51,4;1,2;Hyundai
 A5;29000;Automatic;4000;Petrol;145;39,8;2;audi
 Q7;53792;Automatic;3182;Diesel;145;33,2;3;audi
 Ioniq;22995;Automatic;5;Hybrid;135;62,8;1,6;Hyundai
 A4;43890;Automatic;8115;Diesel;145;39,8;3;audi
 Hilux;36995;Automatic;150;Diesel;260;2,8;2,4;toyota
 A1;25491;Semi-Auto;5432;Petrol;150;44,8;1,5;audi
 Touareg;49999;Semi-Auto;3000;Diesel;145;33,6;3;vw
 TT;29000;Semi-Auto;2301;Petrol;150;40,9;2;audi
 Q2;24653;Manual;6000;Petrol;145;43,5;1,5;audi
 X2;31995;Semi-Auto;1501;Diesel;145;61,4;2;BMW
 A1;24950;Semi-Auto;2888;Petrol;150;44,8;1,5;audi
 A5;27890;Semi-Auto;3532;Diesel;145;51,4;2;audi
 Golf;30999;Semi-Auto;3000;Hybrid;135;141,3;1,4;vw
 Q5;45000;Semi-Auto;2500;Diesel;145;37,2;2;audi
 Polo;16999;Semi-Auto;5000;Petrol;145;45,6;1;vw
 Q3;30900;Manual;924;Diesel;145;40,9;2;audi
 EcoSport;17499;Manual;15;Petrol;150;53,3;1;Ford
 Mustang;40495;Semi-Auto;3200;Petrol;145;24,8;5;Ford
 3 Series;39995;Semi-Auto;5302;Diesel;145;45,6;3;BMW
 Focus;22500;Manual;200;Petrol;145;60,1;1;Ford
 X6;54975;Semi-Auto;1075;Petrol;150;26,4;3;BMW
 Q3;27000;Manual;1200;Petrol;145;40,9;1,5;audi
 RS3;42490;Automatic;10;Petrol;145;30,1;2,5;audi
 Q3;32000;Automatic;1500;Petrol;145;31,4;0;audi
 3 Series;37875;Semi-Auto;2000;Diesel;145;47,9;3;BMW
 Passat;20998;Semi-Auto;15;Diesel;145;49,6;1,6;vw
 Up;11990;Manual;100;Petrol;145;50,4;1;vw
